label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	num_ref_seqs	num_sample_seqs	num_total_seqs	n_gaps	total_chars	dataset	seed	method	printref	fraction_mapped	sample_frac	ref_frac	ref_weight	check_split_passed	ref	region	tool	criteria
0.03	0.03	11998	34725500	8695150000	3872540	5928890	0.8542	0.9996	0.8997	0.9993	0.8997	0.9989	0.8761	0.8763	381.8158	00:06:21	3794.93	4215.46	3791.56	3791.82	1685.78	2.27	0	13221	118989	132210	44695965	78136110	human	1	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2718	34694400	8403070000	3869360	5959980	0.853399	0.99954	0.899663	0.999291	0.899663	0.998836	0.875644	0.875921	347.844	00:05:47	3794.26	4215.46	3792.28	3792.48	1700.78	2.2	0	13221	118989	132210	44695965	78136110	human	1	closed	t	0.845	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11968	34639400	8695230000	3791640	6014950	0.852	0.9996	0.9013	0.9993	0.9013	0.9989	0.8758	0.876	1001.4195	00:16:41	3804.05	4219.79	3800.34	3801.32	1710.12	2.28	0	13221	118989	132210	44695965	78136110	human	2	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2754	34611300	8404320000	3788740	6043120	0.851354	0.999549	0.901335	0.999281	0.901335	0.998836	0.875407	0.875632	344.1195	00:05:44	3798.23	4215.5	3794.5	3795.12	1686.55	0.03	0	13221	118989	132210	44695965	78136110	human	2	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11974	34665300	8695220000	3804030	5989110	0.8527	0.9996	0.9011	0.9993	0.9011	0.9989	0.876	0.8762	355.8951	00:05:55	3799.66	4215.45	3795.96	3796.93	1710.12	2.27	0	13221	118989	132210	44695965	78136110	human	3	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2714	34638400	8403010000	3801270	6016030	0.85202	0.999548	0.901111	0.999285	0.901111	0.998838	0.875641	0.875878	357.2085	00:05:57	3799.66	4215.45	3796.02	3797.13	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	3	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12010	34698900	8695170000	3848400	5955510	0.8535	0.9996	0.9002	0.9993	0.9002	0.9989	0.876	0.8762	363.6972	00:06:03	3799.66	4215.45	3795.95	3796.9	1710.09	2.27	0	13221	118989	132210	44695965	78136110	human	4	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2693	34671600	8402970000	3845730	5982810	0.852837	0.999543	0.900156	0.999289	0.900156	0.998837	0.875596	0.875858	351.2709	00:05:51	3799.66	4215.45	3795.95	3797.01	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	4	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12010	34680700	8695190000	3828720	5973730	0.8531	0.9996	0.9006	0.9993	0.9006	0.9989	0.8759	0.8762	350.9821	00:05:50	3799.67	4215.46	3792.39	3794.32	1524.91	2.27	0	13221	118989	132210	44695965	78136110	human	5	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2771	34653500	8405580000	3826080	6000940	0.852391	0.999545	0.900569	0.999287	0.900569	0.998837	0.875568	0.875818	363.6268	00:06:03	3799.67	4215.46	3795.96	3796.88	1710.12	2.2	0	13221	118989	132210	44695965	78136110	human	5	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11981	34747400	8695120000	3901250	5906970	0.8547	0.9996	0.8991	0.9993	0.8991	0.9989	0.876	0.8763	359.7373	00:05:59	3798.06	4215.46	3791.63	3793.54	22.02	2.27	0	13221	118989	132210	44695965	78136110	human	6	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2713	34716400	8408110000	3897980	5938020	0.853939	0.999537	0.899054	0.999294	0.899054	0.998836	0.875624	0.875916	379.1415	00:06:19	3799.66	4215.46	3795.96	3796.9	1710.09	2.2	0	13221	118989	132210	44695965	78136110	human	6	closed	t	0.846	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11948	34663900	8695220000	3804990	5990480	0.8526	0.9996	0.9011	0.9993	0.9011	0.9989	0.876	0.8762	362.6445	00:06:02	3800.2	4217.36	3794.77	3795.74	719.68	2.27	0	13221	118989	132210	44695965	78136110	human	7	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2692	34637500	8402880000	3802190	6016900	0.851999	0.999548	0.901087	0.999284	0.901087	0.998838	0.875619	0.875856	352.1357	00:05:52	3795.45	4215.45	3793.09	3793.58	1705.55	2.2	0	13221	118989	132210	44695965	78136110	human	7	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12043	34720000	8695150000	3868940	5934360	0.854	0.9996	0.8997	0.9993	0.8997	0.9989	0.876	0.8763	377.7417	00:06:17	3799.65	4215.44	3796.02	3797.13	1710.12	2.27	0	13221	118989	132210	44695965	78136110	human	8	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2777	34692900	8401380000	3866550	5961500	0.853362	0.99954	0.899725	0.999291	0.899725	0.998836	0.875655	0.87593	344.422	00:05:44	3795.88	4215.44	3791.55	3792.75	1697.32	0.03	0	13221	118989	132210	44695965	78136110	human	8	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11993	33993400	8695750000	3266970	6660980	0.8362	0.9996	0.9123	0.9992	0.9123	0.9989	0.8728	0.8726	400.9724	00:06:40	3804.87	4220.79	3801.38	3802.34	1710.12	0.04	0	13221	118989	132210	44695965	78136110	human	9	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2752	33965700	8406800000	3264170	6688700	0.835474	0.999612	0.912324	0.999205	0.912324	0.998822	0.872471	0.872209	374.8402	00:06:14	3799.66	4215.46	3791.46	3794.33	18.25	0.03	0	13221	118989	132210	44695965	78136110	human	9	closed	t	0.846	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11927	34713400	8695170000	3853530	5941020	0.8539	0.9996	0.9001	0.9993	0.9001	0.9989	0.8761	0.8764	406.5928	00:06:46	3805	4220.73	3801.29	3802.28	1710.12	2.27	0	13221	118989	132210	44695965	78136110	human	10	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2761	34685900	8402570000	3850830	5968470	0.85319	0.999542	0.900074	0.99929	0.900074	0.998838	0.875738	0.876005	356.5476	00:05:56	3797.01	4215.46	3791.47	3792.48	8.78	2.21	0	13221	118989	132210	44695965	78136110	human	10	closed	t	0.849	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11991	34741500	8695120000	3905450	5912920	0.8546	0.9996	0.8989	0.9993	0.8989	0.9989	0.8759	0.8762	377.4018	00:06:17	3795.66	4215.46	3791.47	3791.99	110.96	2.28	0	13221	118989	132210	44695965	78136110	human	11	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2794	34714300	8400830000	3902700	5940150	0.853887	0.999536	0.898938	0.999293	0.898938	0.998835	0.87554	0.875833	368.623	00:06:08	3794.29	4215.46	3791.48	3791.75	6.34	0.34	0	13221	118989	132210	44695965	78136110	human	11	closed	t	0.85	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	11941	34695600	8695180000	3842710	5958810	0.8534	0.9996	0.9003	0.9993	0.9003	0.9989	0.876	0.8762	353.2859	00:05:53	3799.66	4215.46	3795.96	3796.92	1710.12	2.27	0	13221	118989	132210	44695965	78136110	human	12	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	2735	34667200	8406350000	3839840	5987180	0.85273	0.999543	0.900282	0.999288	0.900282	0.998837	0.875603	0.875861	398.9613	00:06:38	3799.67	4215.46	3794.05	3795.75	17.63	2.2	0	13221	118989	132210	44695965	78136110	human	12	closed	t	0.848	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
0.03	0.03	12025	34760000	8695100000	3918130	5894360	0.855	0.9995	0.8987	0.9993	0.8987	0.9989	0.876	0.8763	423.3957	00:07:03	3799.66	4215.45	3796.02	3797.14	1710.03	2.28	0	13221	118989	132210	44695965	78136110	human	13	open	t	1	0.9	0.1	simple	TRUE	NA	NA	mothur	NA
